"HESCategory","OPCSCode","CodeNoDot","CodeDesc"
2,"J03.2","J032","Destruction of lesion of liver NEC"
2,"J03.3","J033","Thermal ablation of single lesion of liver"
2,"J03.4","J034","Thermal ablation of multiple lesions of liver"
2,"J03.5","J035","Excision of multiple lesions of liver"
2,"J03.8","J038","Other specified extirpation of lesion of liver"
2,"J03.9","J039","Unspecified extirpation of lesion of liver"
2,"J04.1","J041","Removal of lacerated fragment of liver"
2,"J04.2","J042","Repair of laceration of liver"
2,"J04.3","J043","Packing of laceration of liver"
2,"J04.8","J048","Other specified repair of liver"
2,"J04.9","J049","Unspecified repair of liver"
2,"J05.1","J051","Open drainage of liver"
2,"J05.2","J052","Open removal of calculus from liver"
2,"J05.8","J058","Other specified incision of liver"
2,"J18.2","J182","Total cholecystectomy and exploration of common bile duct"
2,"J18.4","J184","Partial cholecystectomy and exploration of common bile duct"
2,"J19.1","J191","Anastomosis of gall bladder to stomach"
2,"J19.2","J192","Anastomosis of gall bladder to duodenum"
2,"J19.3","J193","Anastomosis of gall bladder to jejunum"
2,"J19.4","J194","Anastomosis of gall bladder to intestine not elsewhere classified"
2,"J19.5","J195","Revision of anastomosis of gall bladder"
2,"J19.6","J196","Closure of anastomosis of gall bladder"
2,"J19.8","J198","Other specified connection of gall bladder"
2,"J19.9","J199","Unspecified connection of gall bladder"
2,"J20.1","J201","Closure of fistula of gall bladder"
2,"J20.2","J202","Closure of cholecystotomy"
2,"J20.3","J203","Repair of perforation of gall bladder"
2,"J20.8","J208","Other specified repair of gall bladder"
2,"J20.9","J209","Unspecified repair of gall bladder"
2,"J21.1","J211","Open removal of calculus from gall bladder"
2,"J21.2","J212","Drainage of gall bladder"
2,"J21.3","J213","Drainage of tissue surrounding gall bladder"
2,"J21.8","J218","Other specified incision of gall bladder"
2,"J21.9","J219","Unspecified incision of gall bladder"
2,"J23.1","J231","Excision of lesion of gall bladder (Clean-contaminated)"
2,"J23.8","J238","Other specified open operations on gall bladder"
2,"J23.9","J239","Unspecified other open operations on gall bladder"
2,"J27.1","J271","Excision of ampulla of Vater and replantation of common bile duct into duodenum"
2,"J27.2","J272","Partial excision of bile duct and anastomosis of bile duct to duodenum"
2,"J27.3","J273","Partial excision of bile duct and anastomosis of bile duct to jejunum"
2,"J27.4","J274","Partial excision of bile duct and end to end anastomosis of bile duct"
2,"J27.5","J275","Excision of extrahepatic bile ducts HFQ"
2,"J27.8","J278","Other specified excision of bile duct"
2,"J27.9","J279","Unspecified excision of bile duct"
2,"J28.1","J281","Excision of lesion of bile duct (Clean-contaminated)"
2,"J28.2","J282","Destruction of lesion of bile duct"
2,"J28.8","J288","Other specified extirpation of lesion of bile duct"
2,"J28.9","J289","unspecified extirpation of lesion of bile duct"
2,"J29.1","J291","Anastomosis of hepatic duct to transposed jejunum and insertion of tubal prosthesis HFQ"
2,"J29.2","J292","Anastomosis of hepatic duct to jejunum NEC"
2,"J29.3","J293","Revision of anastomosis of hepatic duct"
2,"J29.4","J294","Open dilation of anastomosis of hepatic duct"
2,"J29.8","J298","Other specified connection of hepatic duct"
2,"J29.9","J299","Unspecified connection of hepatic duct"
2,"J30.1","J301","Anastomosis of common bile duct to duodenum"
2,"J30.2","J302","Astomosis of common bile duct to transposed jejunum"
2,"J30.3","J303","Anastomosis of common bile duct to jejunum not elsewhere classified "
2,"J30.4","J304","Revision of anastomosis of common bile duct"
2,"J30.5","J305","Open dilation of anastomosis of common bile duct"
2,"J30.8","J308","Other specified connection of common bile duct"
2,"J30.9","J309","Unspecified connection of common bile duct"
2,"J31.1","J311","Open insertion of tubal prosthesis into both hepatic ducts and common bile duct"
2,"J31.2","J312","Open insertion of tubal prosthesis into one hepatic duct and common bile duct"
2,"J31.3","J313","Open renewal of tubal prosthesis in bile duct"
2,"J31.4","J314","Open removal of tubal prosthesis in bile duct"
2,"J31.8","J318","Other specified open introduction of prosthesis into bile duct"
2,"J31.9","J319","Unspecified open introduction of prosthesis into bile duct"
2,"J32.1","J321","Reconstruction of bile duct"
2,"J32.2","J322","Reanastomosis of bile duct"
2,"J32.8","J328","Other specified repair of bile duct"
2,"J32.9","J329","Unspecified repair of bile duct"
2,"J33.1","J331","Open removal of calculus from bile duct and drainage of bile duct"
2,"J33.2","J332","Open removal of calculus from bile duct not elsewhere classified"
2,"J33.3","J333","Drainage of bile duct not elsewhere classified "
2,"J33.8","J338","Other specified incision of bile duct"
2,"J33.9","J339","Unspecified incision of bile duct"
2,"J34.1","J341","Sphincteroplasty of bile duct and pancreatic duct using duodenal approach"
2,"J34.2","J342","Sphincteroplasty of bile duct using duodenal approach not elsewhere classified "
2,"J34.3","J343","Sphincteroplasty of pancreatic duct using duodenal approach not elsewhere classified "
2,"J34.8","J348","Other specified plastic repair of sphincter of oddi using duodenal approach"
20,"T87.4 ","T874 ","Excision or biopsy of mediastinal lymph node"
20,"T87.5 ","T875 ","Excision or biopsy of para-aortic lymph node"
2,"J34.9","J349","Unspecified plastic repair of sphincter of oddi using duodenal approach"
2,"J35.1","J351","Sphincterotomy of bile duct and pancreatic duct using duodenal approach"
2,"J35.2","J352","Sphincterotomy of bile duct using duodenal approach not elsewhere classified"
2,"J35.3","J353","Sphincterotomy of pancreatic duct using duodenal approach not elsewhere classified"
2,"J35.8","J358","Other specified incision of sphincter of oddi using duodenal approach"
2,"J35.9","J359","Unspecified incision of sphincter of oddi using duodenal approach"
2,"J36.8","J368","Other specified other operations on ampulla of vata using duodenal approach"
7,"W52.0","W520","Conversion from previous cemented prosthetic replacement of articulation of bone not elsewhere classified "
7,"W53.1","W531","Primary prosthetic replacement of articulation of bone not using cement not elsewhere classified"
7,"W53.2","W532","Conversions to prosthetic replacement of articulation of bone not using cement not elsewhere classified"
7,"W53.3","W533","Revision of prosthetic replacement of articulation of bone not using cement not elsewhere classified "
7,"W53.8","W538","Other specified"
7,"W53.9","W539","Unspecified"
5,"G40.9","G409","Unspecified incision of pylorus"
5,"G41.2","G412","Repair of perforation of pylorus (Contaminated)"
6,"W37.1","W371","Primary total prosthetic replacement of hip joint using cement"
6,"W37.2","W372","Conversion to total prosthetic replacement of hip joint using cement"
6,"W37.3","W373","Revision of total prosthetic replacement of hip joint using cement"
6,"W37.4","W374","Revision of one component of total prosthetic replacement of hip joint using cement."
6,"W37.8","W378","Other specified total prosthetic replacement of hip joint using cement"
6,"W37.9","W379","Unspecified total prosthetic replacement of hip joint using cement"
6,"W37.0","W370","Conversion from previous cemented total prosthetic replacement of hip joint"
6,"W38.1","W381","Primary total prosthetic replacement of hip joint not using cement"
6,"W38.2","W382","Conversion to total prosthetic replacement of hip joint not using cement"
6,"W38.3","W383","Revision of total prosthetic replacement of hip joint not using cement"
6,"W38.4","W384","Revision of one component of total prosthetic replacement of hip joint not using cement"
6,"W38.8","W388","Other specified total prosthetic replacement of hip joint not using cement"
6,"W38.9","W389","Unspecified total prosthetic replacement of hip joint not using cement"
6,"W38.0","W380","Conversion from previous uncemented total prosthetic replacement of hip joint"
6,"W39.1","W391","Primary total prosthetic replacement of hip joint not elsewhere classified "
6,"W39.2","W392","Conversion to total prosthetic replacement of hip joint not elsewhere classified"
6,"W39.3","W393","Revision of total prosthetic replacement of hip joint not elsewhere classified"
6,"W39.5","W395","Revision of one component of total prosthetic replacement of hip joint not elsewhere classified"
6,"W39.8","W398","Other specified other total prosthetic replacement of hip joint"
6,"W39.9","W399","Unspecified other total prosthetic replacement of hip joint"
6,"W39.0","W390","Conversion from previous total prosthetic replacement of hip joint not elsewhere classified"
6,"W93.1","W931","Primary hybrid prosthetic replacement of hip joint using cemented acetabular component"
6,"W93.2","W932","Conversion to hybrid prosthetic replacement of hip joint using cemented acetabular component"
6,"W93.3","W933","Revision of hybrid prosthetic replacement of hp joint using cemented acetabular component"
6,"W93.8","W938","Other specified"
6,"W93.9","W939","Unspecified"
6,"W93.0","W930","Conversion from previous hybrid prosthetic replacement of hip joint using cemented acetabular component."
6,"W94.1","W941","Primary hybrid prosthetic replacement of hip joint using cemented femoral component"
6,"W94.2","W942","Conversion to hybrid prosthetic replacement of hip joint using cemented femoral component."
6,"W94.3","W943","Revision of hybrid prosthetic replacement of hip joint using cemented femoral component."
6,"W94.8","W948","Other specified"
6,"W94.9","W949","Unspecified"
6,"W94.0","W940","Conversion from previous hybrid prosthetic replacement of hip joint using cemented femoral component. "
6,"W95.1","W951","Primary hybrid prosthetic replacement of hip joint using cement NEC"
6,"W95.2","W952","Conversion of hybrid prosthetic replacement of hip joint using cement NEC"
6,"W95.3","W953","Revision of hybrid prosthetic replacement of hip joint using cement NEC"
6,"W95.4","W954","Attention to hybrid prosthetic replacement of hip joint using cement NEC"
6,"W95.8","W958","Other specified"
6,"W95.9","W959","Unspecified"
6,"W95.0","W950","Conversion from previous hybrid prosthetic replacement of hip joint using cement NEC"
6,"W58.1","W581","Primary resurfacing arthroplasty of joint"
6,"W58.2","W582","Revision of resurfacing arthroplasty of joint"
6,"W58.8","W588","Other Specified"
6,"W58.9","W589","Unspecified"
6,"W58.0","W580","Conversion from previous resurfacing arthroplasty of joint"
6,"W52.1","W521","Primary prosthetic replacement of articulation of bone using cement not elsewhere classified"
6,"W52.2","W522","Conversions to prosthetic replacement of articulation of bone using cement not elsewhere classified"
6,"W52.3","W523","Revision of prosthetic replacement of articulation of bone using cement not elsewhere classified"
6,"W52.8","W528","Other specified"
8,"H06.3","H063","Extended right hemicolectomy and anastomosis not elsewhere classified "
8,"H06.4","H064","Extended right hemicolectomy and ileostomy however further qualified "
8,"H06.8","H068","Other specified"
8,"H06.9","H069","Unspecified"
8,"H07.1","H071","Right hemicolectomy and end to end anastomosis of ileum to colon"
8,"H07.2","H072","Right hemicolectomy and side to side anastomosis of ileum to transverse colon"
8,"H07.3","H073","Right hemicolectomy and anastomosis not elsewhere classified"
8,"H07.4","H074","Right hemicolectomy and ileostomy however further qualified"
8,"H07.8","H078","Other specified"
8,"H07.9","H079","Unspecified"
8,"H08.1","H081","Transverse colectomy and end to end anastomosis"
8,"H08.2","H082","Transverse colectomy and anastomosis of ileum to colon"
8,"H08.3","H083","Transverse colectomy and anastomosis not elsewhere classified"
8,"H08.4","H084","Transverse colectomy and ileostomy however further qualified"
8,"H08.5","H085","Transverse colectomy and exteriorisation of bowel not elsewhere classified*"
8,"H08.8","H088","Other specified"
8,"H08.9","H089","Unspecified"
8,"H09.1","H091","Left hemicolectomy and end to end anastomosis of colon to rectum"
8,"H09.2","H092","Left hemicolectomy and end to end anastomosis of colon to colon"
8,"H09.3","H093","Left hemicolectomy and anastomosis not elsewhere classified"
8,"H09.4","H094","Left hemicolectomy and ileostomy however further qualified "
8,"H09.5","H095","Left hemicolectomy and exteriorisation of bowel not elsewhere classified*"
8,"H09.8","H098","Other specified"
8,"H09.9","H099","Unspecified"
8,"H10.1","H101","Sigmoid colectomy and end to end anastomosis of ileum to rectum"
8,"H10.2","H102","Sigmoid colectomy and anastomosis of colon to rectum"
8,"H10.3","H103","Sigmoid colectomy and anastomosis not elsewhere classified"
8,"H10.4","H104","Sigmoid colectomy and ileostomy however further qualified "
8,"H10.5","H105","Sigmoid colectomy and exteriorisation of bowel not elsewhere classified*"
8,"H10.8","H108","Other specified"
8,"H10.9","H109","Unspecified"
8,"H11.1","H111","Colectomy and end to end anastomosis of colon to colon not elsewhere classified"
8,"H11.2","H112","Colectomy and side to side anastomosis of ileum to colon not elsewhere classified "
8,"H11.3","H113","Colectomy and anastomosis not elsewhere classified"
8,"H11.4","H114","Colectomy and ileostomy not elsewhere classified"
8,"H11.5","H115","Colectomy and exteriorisation of bowel not elsewhere classified*"
8,"H11.8","H118","Other specified"
8,"H11.9","H119","Unspecified"
8,"H12.1","H121","Excision of diverticulum of colon (Dirty)"
8,"H12.2","H122","Excision of lesion of colon to not elsewhere classified"
8,"H12.3","H123","Destruction of lesion of colon not elsewhere classified"
8,"H12.8","H128","Other specified"
8,"H12.9","H129","Unspecified"
8,"H13.1","H131","Bypass of colon by anastomosis of ileum to colon"
8,"H13.2","H132","Bypass of colon by anastomosis of caecum to sigmoid colon"
8,"H13.3","H133","Bypass of colon by anastomosis of transverse colon to sigmoid colon"
8,"H13.4","H134","Bypass of colon by anastomosis of transverse colon to rectum"
8,"H13.5","H135","Bypass of colon by anastomosis of colon to rectum not elsewhere classified"
8,"H13.8","H138","Other specified"
8,"H13.9","H139","Unspecified"
8,"H14.1","H141","Tube caecostomy"
8,"H14.2","H142","Refashioning of caecostomy"
8,"H14.3","H143","Closure of caecostomy"
8,"H14.8","H148","Other specified"
7,"W53.0","W530","Conversion from previous uncemented prosthetic replacement of articulation of bone not elsewhere classified"
7,"W54.1","W541","Primary prosthetic replacement of articulation of bone not elsewhere classified "
7,"W54.2","W542","Conversion to prosthetic replacement of articulation of bone not elsewhere classified "
7,"W54.3","W543","Revision of prosthetic replacement of articulation of bone not elsewhere classified "
7,"W54.8","W548","Other specified"
7,"W54.9","W549","Unspecified "
7,"W54.0","W540","Conversion from previous prosthetic replacement of articulation of bone not elsewhere classified "
7,"W58.1","W581","Primary resurfacing arthroplasty of joint"
7,"W58.2","W582","Revision of resurfacing arthroplasty of joint"
7,"W58.8","W588","Other specified other reconstruction of joint"
7,"W58.9","W589","Unspecified other reconstruction of joint"
7,"W58.0","W580","Conversion from previous resurfacing arthroplasty of joint"
8,"G58.3","G583","Total jejunectomy and anastomosis of duodenum to colon*"
8,"G58.5","G585","Partial jejunectomy and anastomosis of duodenum to colon*"
8,"G61.3","G613","Bypass of jejunum by anastomosis of jejunum to colon (Clean-contaminated)"
8,"G69.4","G694","Ileectomy and anastomosis of ileum to colon (Clean-contaminated)"
8,"G71.3","G713","Bypass of ileum by anastomosis of ileum to caecum (Clean-contaminated)"
8,"G71.4","G714","Bypass of ileum by anastomosis of ileum to transverse colon (Clean-contaminated)"
8,"G71.5","G715","Bypass of ileum by anastomosis of ileum to colon not elsewhere classified (Clean-contaminated)"
8,"G72.1","G721","Anastomosis of ileum to caecum"
8,"G72.2","G722","Anastomosis of ileum to transverse colon"
8,"G72.3","G723","Anastomosis of ileum to colon not elsewhere classified"
8,"G72.4","G724","Anastomosis of ileum to rectum"
8,"G72.5","G725","Anastomosis of ileum to anus and creation of pouch however further qualified"
8,"G72.8","G728","Other specified"
8,"G72.9","G729","Unspecified"
8,"H04.1","H041","Panproctocolectomy and ileostomy"
8,"H04.2","H042","Panproctocolectomy and anastomosis of ileum to anus and creation of pouch however further qualified "
8,"H04.3","H043","Panproctocolectomy and anastomosis of ileum to anus not elsewhere classified "
8,"H04.8","H048","Other specified"
8,"H04.9","H049","Unspecified"
8,"H05.1","H051","Total colectomy and anastomosis of ileum to rectum"
8,"H05.2","H052","Total colectomy and ileostomy and creation of rectal fistula however further qualified "
8,"H05.3","H053","Total colectomy and ileostomy not elsewhere classified"
8,"H05.8","H058","Other specified"
8,"H05.9","H059","Unspecified"
8,"H06.1","H061","Extended right hemicolectomy and end to end anastomosis"
8,"H06.2","H062","Extended right hemicolectomy and anastomosis of ileum to colon"
9,"X11.1","X111","Amputation of great toe"
9,"X11.2","X112","Amputation of phalanx of toe"
9,"X11.8","X118","Other specified"
9,"X11.9","X119","Unspecified"
14,"W19.2","W192","Primary open reduction of fracture of long bone and fixation using rigid nail (reamed and locked) not elsewhere classified"
14,"W19.3","W193","Primary open reduction of fracture of long bone and fixation using flexible nail (unreamed and locked)"
14,"W19.5","W195","Primary open reduction of fragment of bone and fixation using screw"
16,"V36.3","V363","Prosthetic replacement of lumbar intervertebral disc"
16,"V36.8","V368","Other speci?ed "
16,"V36.9","V369","Unspeci?ed "
16,"V37.1","V371","Posterior fusion of atlantoaxial joint NEC"
16,"V37.2","V372","Posterior fusion of joint of cervical spine NEC"
16,"V37.4","V374","Fusion of atlantooccipital joint"
16,"V37.5","V375","Posterior fusion of atlantoaxial joint using transarticular screw"
16,"V37.6","V376","Posterior fusion of atlantoaxial joint using pedicle screw"
16,"V37.7","V377","Fusion of occipitocervical NEC junction"
16,"V37.8","V378","Other specified"
16,"V37.9","V379","Unspecified"
12,"L18.9","L189","Unspecified"
12,"L19.1","L191","Replacement of aneurysmal segment of ascending aorta by anastomosis of aorta to aorta not elsewhere classified"
12,"L19.2","L192","Replacement of aneurysmal segment of thoracic aorta by anastomosis of aorta to aorta not elsewhere classified"
12,"L19.3","L193","Replacement of aneurysmal segment of suprarenal abdominal aorta by anastomosis of aorta to aorta not elsewhere classified"
12,"L19.4","L194","Replacement of aneurysmal segment of infrarenal abdominal aorta by anastomosis of aorta to aorta not elsewhere classified"
12,"L19.5","L195","Replacement of aneurysmal segment of abdominal aorta by anastomosis of aorta to aorta not elsewhere classified"
12,"L19.6","L196","Replacement of aneurysmal bifurcation of aorta by anastomosis of aorta to iliac artery not elsewhere classified"
16,"V39.4","V394","Revisional posterior fusion of joint of lumbar spine NEC"
16,"V39.5","V395","Revisional intertransverse fusion of joint of lumbar spine NEC"
16,"V39.6","V396","Revisional posterior interbody fusion of joint of lumbar spine"
16,"V39.7","V397","Revisional transforaminal interbody fusion of joint of lumbar spine"
16,"V39.8","V398","Other specified"
16,"V39.9","V399","Unspecified"
16,"V40.1","V401","Non-rigid stabilisation of spine"
16,"V40.2","V402","Posterior instrumented fusion of cervical spine NEC"
16,"V40.3","V403","Posterior instrumented fusion of thoracic spine NEC "
12,"L62.1","L621","Repair of femoral artery not elsewhere classified"
12,"L62.2","L622","Open embolectomy of femoral artery"
12,"L62.3","L623","Ligation of aneurysm of popliteal artery"
12,"L62.4","L624","Operations on aneurysm of femoral artery not elsewhere classified"
12,"L62.8","L628","Other specified"
12,"L62.9","L629","Unspecified"
12,"L65.1","L651","Revision of reconstruction involving aorta"
16,"V40.4","V404","Posterior instrumented fusion of lumbar spine NEC"
16,"V40.5 ","V405 ","Removal of instrumentation from spine"
16,"V40.8","V408","Other specified"
16,"V40.9","V409","Unspecified"
16,"V41.1","V411","Posterior attachment of correctional instrument to spine"
16,"V41.2","V412","Anterior attachment of correctional instrument to spine"
16,"V41.3","V413","Removal of correctional instrument to spine"
16,"V41.4","V414","Anterior and posterior attachment of correctional instrument to spine"
16,"V41.8","V418","Other specified"
16,"V41.9","V419","Unspecified"
16,"V42.1","V421","Excision of rib hump"
16,"V42.2","V422","Epiphysiodesis of spinal apophyseal joint for correction of deformity"
16,"V42.3","V423","Anteriolateral release of spine for correction of deformity and graft HFQ"
16,"V42.4","V424","Anterior and posterior epiphysiodesis of spine for correction of deformity"
16,"V42.5","V425","Anterior epiphysiodesis of spine for correction of deformity NEC"
16,"V42.6","V426","Posterior epiphysiodesis of spine for correction of deformity NEC"
16,"V42.8","V428","Other specified"
16,"V42.9","V429","Unspecified"
16,"V43.1","V431","Excision of lesion of cervical vertebra"
16,"V43.2","V432","Excision of lesion of thoracic vertebra"
16,"V43.3","V433","Excision of lesion of Lumbar vertebra"
16,"V43.8","V438","Other specified"
16,"V43.9","V439","Unspecified"
16,"V44.1","V441","Complex decompression of fracture of spine"
16,"V44.2","V442","Anterior decompression of fracture of spine"
16,"V44.3","V443","Posterior decompression of fracture of spine"
16,"V44.4","V444","Vertibroplasty of fracture of spine"
16,"V44.8","V448","Other specified"
16,"V44.9","V449","Unspecified"
16,"V45.1","V451","Open reduction of fracture of spine and excision of facet of spine"
16,"V45.2","V452","Open reduction of fracture of spine NEC"
16,"V46.1","V461","Fixation of fracture of spine using plate"
16,"V46.2","V462","Fixation of fracture of spine using Harrington rod"
16,"V46.3","V463","Fixation of fracture of spine using wire"
16,"V46.4","V464","Fixation of fracture of spine and skull traction HFQ"
16,"V46.5 ","V465 ","Removal of fixation device from spine"
16,"V46.8","V468","Other specified"
16,"V46.9","V469","Unspecified"
16,"V49.1","V491","Exploratory cervical laminectomy"
16,"V49.2","V492","Exploratory thoracic laminectomy"
16,"V49.3","V493","Exploratory lumbar laminectomy"
16,"V49.4","V494","Exploratory laminectomy NEC"
16,"V49.5","V495","Transthoracic exploration of spine"
16,"V49.6","V496","Transperitoneal exploration of spine"
16,"V49.8","V498","Other specified"
16,"V49.9","V499","Unspecified"
16,"V54.1    ","V541    ","Transoral excision of odontoid process of axis"
16,"V54.2    ","V542    ","Graft of bone to spine NEC"
16,"V54.3    ","V543    ","Osteotomy of spine NEC"
16,"V54.8     ","V548     ","Other specified other operations on spine"
16,"V54.9     ","V549     ","Unspecified other operations on spine"
16,"V66.1","V661","      Revisional fusion of occipitocervical junction"
16,"V66.2","V662","      Revisional posterior fusion of atlantoaxial joint using transarticular screw"
16,"V66.3","V663","      Revisional posterior fusion of atlantoaxial joint using pedicle screw"
16,"V66.4","V664","      Revisional posterior fusion of atlantoaxial joint NEC"
16,"V66.8","V668","      Other speci?ed"
16,"V66.9","V669","      Unspeci?ed"
16,"V67.1 ","V671 ","Primary posterior lumbar medial facetectomy "
16,"V67.2 ","V672 ","Primary hemilaminectomy decompression of lumbar spine "
16,"V67.8 ","V678 ","Other specified  "
16,"V67.9 ","V679 ","Unspecified  "
16,"V68.1","V681","Revisional posterior lumbar medial facetectomy "
16,"V68.2 ","V682 ","Revisional hemilaminectomy decompression of lumbar spine "
16,"V68.8 ","V688 ","Other specified  "
16,"V68.9 ","V689 ","      Unspecified  "
12,"L16.1","L161","Emergency bypass of aorta by anastomosis of axillary artery to femoral artery"
12,"L16.2","L162","Bypass of aorta by anastomosis of axillary artery to femoral artery not elsewhere classified"
12,"L16.3 ","L163 ","Bypass of aorta by anastomosis of axillary artery to bilateral femoral arteries"
12,"L16.8","L168","Other specified"
12,"L16.9","L169","Unspecified"
12,"L18.1","L181","Emergency replacement of aneurysmal segment of ascending aorta by anastomosis of aorta to aorta"
12,"L65.8","L658","Other specified"
12,"L65.9","L659","Unspecified"
12,"L68.1","L681","Endarterectomy and patch repair of artery not elsewhere classified"
12,"L68.2","L682","Endarterectomy not elsewhere classified"
12,"L68.3","L683","Repair of artery using prosthesis not elsewhere classified"
12,"L68.4","L684","Repair of artery using vein graft not elsewhere classified"
12,"L68.8","L688","Other specified"
12,"L68.9","L689","Unspecified"
12,"L70.1","L701","Open embolectomy of artery not elsewhere classified"
12,"L70.2","L702","Open embolisation of artery not elsewhere classified"
12,"L70.3","L703","Ligation of artery not elsewhere classified"
12,"L70.4","L704","Open cannulation of artery not elsewhere classified"
12,"L41.6","L416","Patch angioplasty of renal artery"
12,"L41.8","L418","Other specified"
12,"L41.9","L419","Unspecified"
12,"L42.1","L421","Open embolectomy of renal artery"
12,"L42.2","L422","Open embolisation of renal artery"
12,"L42.3","L423","Ligation of renal artery"
12,"L42.4","L424","Operations on aneurysm of renal artery"
12,"L42.8","L428","Other specified"
12,"L42.9","L429","Unspecified"
12,"L45.1","L451","Bypass of visceral branch of abdominal aorta not elsewhere classified"
12,"L45.2","L452","Replantation of visceral branch of abdominal aorta not elsewhere classified"
12,"L45.3","L453","Endarterectomy of visceral branch of abdominal aorta and patch repair of visceral branch of abdominal aorta not elsewhere classified"
12,"L45.4 ","L454 ","Endarterectomy of visceral branch of abdominal aorta not elsewhere classified"
12,"L45.8","L458","Other specified"
12,"L45.9","L459","Unspecified"
12,"L46.1","L461","Open embolectomy of visceral branch of abdominal aorta not elsewhere classified"
12,"L59.8","L598","Other specified"
12,"L59.9","L599","Unspecified"
12,"L60.1","L601","Endarterectomy of femoral artery and patch repair of femoral artery"
12,"L60.2","L602","Endarterectomy of femoral artery not elsewhere classified"
12,"L60.3","L603","Profundoplasty of femoral artery and patch repair of deep femoral artery"
12,"L60.4","L604","Profundoplasty of femoral artery not elsewhere classified"
12,"L60.8","L608","Other specified"
12,"L60.9","L609","Unspecified"
